News Source,domain,Bias,Reporting,Country,Credibility,Media Type,Traffic,Popularity Estimate
BNN Bloomberg,bnnbloomberg.ca,Left-Center,High,Canada,High Credibility,TV Station,High Traffic,
CityNews Calgary,calgary.citynews.ca,Least Biased,High,Canada,High Credibility,Radio Station,High Traffic,
Castanet,castanet.net,Least Biased,High,Canada,High Credibility,Website Only,High Traffic,71
CBC News,cbc.ca,Left-Center,High,Canada,High Credibility,TV Station,High Traffic,88
CP24,cp24.com,Least Biased,High,Canada,High Credibility,TV Station,High Traffic,76
CTV News,ctvnews.ca,Least Biased,High,Canada,High Credibility,TV Station,High Traffic,88
The Daily Hive,dailyhive.com,Left-Center,Mostly Factual,Canada,High Credibility,Website Only,High Traffic,72
Global News,globalnews.ca,Left-Center,High,Canada,High Credibility,Website Only,High Traffic,90
Ground News,ground.news,Least Biased,Mostly Factual,Canada,High Credibility,Website Only,High Traffic,
ICI Radio-Canada,radio-canada.ca,Left-Center,High,Canada,High Credibility,Radio Station,High Traffic,
Le Journal de Montreal,journaldemontreal.com,Right,Mostly Factual,Canada,High Credibility,Newspaper,High Traffic,
CityNews Kitchener,kitchener.citynews.ca,Least Biased,High,Canada,High Credibility,Radio Station,High Traffic,
La Presse,lapresse.ca,Left-Center,High,Canada,High Credibility,Newspaper,High Traffic,89
Le Devoir,ledevoir.com,Least Biased,High,Canada,High Credibility,Newspaper,High Traffic,81
Le Droit,ledroit.com,Least Biased,High,Canada,High Credibility,Newspaper,High Traffic,
Le Soleil,lesoleil.com,Left-Center,High,Canada,High Credibility,Newspaper,High Traffic,
CityNews Montreal,montreal.citynews.ca,Least Biased,High,Canada,High Credibility,Radio Station,High Traffic,
Montreal Gazette,montrealgazette.com,Right-Center,High,Canada,High Credibility,Newspaper,High Traffic,89
National Post,nationalpost.com,Right-Center,High,Canada,High Credibility,Newspaper,High Traffic,93
CityNews Ottawa,ottawa.citynews.ca,Least Biased,High,Canada,High Credibility,Radio Station,High Traffic,
The Canadian Press,thecanadianpress.com,Least Biased,High,Canada,High Credibility,News Agency,High Traffic,74
The Globe and Mail (Toronto),theglobeandmail.com,Right-Center,High,Canada,High Credibility,Newspaper,High Traffic,95
Toronto Star,thestar.com,Left-Center,High,Canada,High Credibility,Newspaper,High Traffic,95
CityNews Toronto,toronto.citynews.ca,Least Biased,High,Canada,High Credibility,Radio Station,High Traffic,72
Toronto Sun,torontosun.com,Right,Mostly Factual,Canada,High Credibility,Newspaper,High Traffic,84
TVA Nouvelles,tvanouvelles.ca,Left-Center,Mostly Factual,Canada,High Credibility,TV Station,High Traffic,
CityNews Vancouver,vancouver.citynews.ca,Least Biased,High,Canada,High Credibility,Radio Station,High Traffic,
Vancouver Sun,vancouversun.com,Right-Center,High,Canada,High Credibility,Newspaper,High Traffic,93
Winnipeg Free Press,winnipegfreepress.com,Least Biased,High,Canada,High Credibility,Newspaper,High Traffic,60
